label_en,label_zh,description,
Achievement-striving,成就追求,,
Activity-Level,活動水平,,
Adaptability,適應性,,
ADHD,ADHD,,
Adventurousness,冒險性,,
Aesthetic Appreciation/Artistic Interests,美學欣賞/藝術興趣,,
Affective Lability,情感不穩定,,
Agreeableness,親和性,,
Altruism,利他主義,,
Ambition/Drive,野心/動力,,
Amiability,和藹,,
Anger,憤怒,,
Anhedonia,快感缺失,,
Anxiety,焦慮,,
Appearance-Consciousness,外表意識,,
Assertiveness,自信堅定,,
Attention to Emotions,情緒關注,,
Attractiveness,吸引力,,
Behavioral Inhibition/Activation System,行為抑制/激活系統,,
Belligerence,好戰性,,
Bravery/Courage/Valor,勇敢/勇氣/英勇,,
Callousness,冷漠,,
Calmness,冷靜,,
Capacity for Love,愛的能力,,
Cautiousness,謹慎,,
Cheerfulness,快樂,,
Cognitive Problems,認知問題,,
Cognitive-Failures,認知失誤,,
Compassion,同情心,,
Competence,能力,,
Complexity,複雜性,,
Comprehension,理解力,,
Conformity/Dependence/Need for approval,順從/依賴/需要認可,,
Conscientiousness,盡責性,,
Conservatism,保守性,,
Construction/Mechanical Interests,建築/機械興趣,,
Cool-headedness,冷靜,,
Cooperation,合作,,
Creativity/Originality,創造力/原創性,,
Culture,文化素養,,
Curiosity,好奇心,,
Deliberateness,審慎性,,
Depression,憂鬱,,
Depth,深度,,
Diligence,勤勉,,
Disorderliness,無序性,,
Disparagement,貶低,,
Dissociation,解離,,
Distrust,不信任,,
Docility,溫順,,
Dominance,支配性,,
Dutifulness,盡責性,,
Efficiency,效率,,
Emotional Detachment,情感疏離,,
Emotional Stability,情緒穩定性,,
Emotionality,情緒性,,
Emotion-based Decision-making,基於情緒的決策,,
Empathy,同理心,,
Equity/Fairness,公平/公正,,
Excitement-seeking,尋求刺激,,
Exhibitionism,表現慾,,
Expressiveness,表達性,,
Extravagance,鋪張,,
Extraversion,外向性,,
Fantasy Proneness,幻想傾向,,
Fearfulness,恐懼,,
Femininity,女性特質,,
Flexibility,靈活性,,
Forcefulness,果斷,,
Forgiveness/Mercy,寬恕/仁慈,,
Friendliness,友善,,
Gentleness,溫和,,
Good Nature,善良天性,,
Grandiosity,誇大,,
Gratitude,感恩,,
Greed Avoidance,避免貪婪,,
Gregariousness,合群性,,
Happiness,快樂,,
Harm-Avoidance,避免傷害,,
Health Anxiety,健康焦慮,,
Honesty/Integrity/Authenticity,誠實/正直/真實性,,
Hope/Optimism,希望/樂觀,,
Hostile Aggression,敵意攻擊,,
Humor/Playfulness,幽默/玩樂性,,
Hypomanic Exhibitionism,躁狂表現慾,,
Hypomanic Mood Intensity,躁狂情緒強度,,
Imagination,想像力,,
Immoderation,放縱,,
Imperturbability,沉著,,
Impression-Management,印象管理,,
Impulse-Control,衝動控制,,
Independence,獨立性,,
Industriousness/Perseverance/Persistence,勤勉/堅持/毅力,,
Ingenuity,創造力,,
Initiative,主動性,,
Inquisitiveness,好奇心,,
Insight,洞察力,,
Intellect,智力,,
Intellectual Openness,智識開放性,,
Intellectual-Breadth,智識廣度,,
Intellectual-Complexity,智識複雜性,,
Interest in Children,對兒童的興趣,,
Interest in Collecting,對收藏的興趣,,
Interest in Computing,對電腦的興趣,,
Interest in Drinking,對飲酒的興趣,,
Interest in Environmentalism,對環保的興趣,,
Interest in Exercise,對運動的興趣,,
Interest in Food,對食物的興趣,,
Interest in Gambling,對賭博的興趣,,
Interest in Game-Playing,對遊戲的興趣,,
Interest in Gardening,對園藝的興趣,,
Interest in Home-Making,對家務的興趣,,
Interest in Journaling,對日誌的興趣,,
Interest in Money,對金錢的興趣,,
Interest in Music,對音樂的興趣,,
Interest in Outdoor Activities,對戶外活動的興趣,,
Interest in Pets,對寵物的興趣,,
Interest in Political Activism,對政治行動的興趣,,
Interest in Romance,對浪漫的興趣,,
Interest in Self-Improvement,對自我改進的興趣,,
Interest in Shopping,對購物的興趣,,
Interest in Social Media,對社交媒體的興趣,,
Interest in Sports,對運動的興趣,,
Interest in Travel,對旅行的興趣,,
Interest in Vehicles,對車輛的興趣,,
Interest in Watching Television,對看電視的興趣,,
Introspection/Private Self-Consciousness,內省/私人自我意識,,
Introversion,內向性,,
Irrational Beliefs,非理性信念,,
Irresponsibility,不負責任,,
Joyfulness,快樂,,
Judgment/Open-mindedness,判斷/開放心態,,
Kindness/Generosity,善良/慷慨,,
Language Mastery,語言精通,,
Leadership,領導力,,
Liberalism,自由主義,,
Liveliness,活潑,,
Locus of Control,控制源,,
Locus of Control,Chance,控制源,機會
Locus of Control,External,控制源,外在
Locus of Control,Internal,控制源,內在
Locus of Control,Rational,控制源,理性
Love of Learning,學習熱愛,,
Love of Reading,閱讀熱愛,,
Machiavellianism,權謀主義,,
Manipulativeness,操縱性,,
Methodicalness,條理性,,
Mistrust,不信任,,
Moderation,節制,,
Modesty/Humility,謙虛/謙遜,,
Morality,道德性,,
Need for Cognition,認知需求,,
Need for Order and Cleanliness,對秩序和清潔的需求,,
Negative Expressivity,負向表達性,,
Negative-Valence,負向特質,,
Neuroticism,神經質,,
Non-Perseverance,非堅持,,
Non-Planfulness,非計劃性,,
Norm Violation,違反規範,,
Nurturance,培育,,
Obsessive-Compulsive Symptoms,強迫症症狀,,
Openness To Experience,開放性,,
Orderliness,條理性,,
Organization,組織,,
Patience,耐心,,
Peculiarity,怪異,,
Perfectionism,完美主義,,
Physical Attractiveness,身體吸引力,,
Planfulness,計劃性,,
Pleasantness,愉快性,,
Poise,鎮定,,
Politeness,禮貌,,
Positive Expressivity,正向表達性,,
Problem-solving,解決問題,,
Provocativeness,挑釁性,,
Prudence,審慎,,
Public Self-consciousness,公眾自我意識,,
Purposefulness,目的性,,
Quickness,敏捷性,,
Rationality,理性,,
Rebelliousness,叛逆性,,
Recklessness,魯莽,,
Reclusiveness,隱遁性,,
Reflection,反思,,
Relationship Insecurity,關係不安全感,,
Reserve,保守性,,
Resourcefulness,機智,,
Responsibility,責任感,,
Responsive Distress,反應性苦惱,,
Responsive Joy,反應性喜悅,,
Rigidity,僵化,,
Risk-avoidance,風險規避,,
Risk-taking/Sensation-Seeking/Thrill-Seeking,冒險/尋求感覺/尋求刺激,,
Romantic Disinterest,浪漫冷淡,,
Romanticism,浪漫主義,,
Rudeness,粗魯,,
Rumination,沉思,,
Satisfaction,滿意度,,
Science Interest,科學興趣,,
Security,安全感,,
Self-acceptance,自我接納,,
Self-confidence,自信,,
Self-consciousness,自我意識,,
Self-control/Self-regulation,自我控制/自我調節,,
Self-deception,自欺,,
Self-discipline,自律,,
Self-disclosure,自我揭露,,
Self-efficacy,自我效能,,
Self-esteem,自尊,,
Self-harm,自殘,,
Self-monitoring,自我監控,,
Self-Sufficiency,自給自足,,
Sensitivity,敏感性,,
Sentimentality,多愁善感,,
Sincerity,真誠,,
Sociability,社交性,,
Social Boldness,社交大膽,,
Social Withdrawal,社交退縮,,
Social/Personal/Emotional Intelligence,社交/個人/情緒智能,,
Social-confidence,社交自信,,
Social-discomfort,社交不適,,
Spirituality/Religiousness,靈性/宗教性,,
Stability,穩定性,,
Submissiveness,順從性,,
Sympathy,同理心,,
Talkativeness,健談,,
Teamwork/Citizenship,團隊合作/公民意識,,
Temperance,節制,,
Tenderness,溫柔,,
Timidity,膽小,,
Tolerance,容忍,,
Toughness,堅韌性,,
Traditionalism,傳統主義,,
Tranquility,平靜,,
Trust,信任,,
Unconventionality,非傳統性,,
Understanding,理解,,
Unlikely Virtues,不可能的美德,,
Unpretentiousness,樸實,,
Unusual Experiences,異常經驗,,
Variety-seeking,尋求變化,,
Vitality/Enthusiasm/Zest,活力/熱情/熱忱,,
Vulnerability,脆弱性,,
Warmth,熱情,,
Wisdom/Perspective,智慧/洞察力,,
Workaholism,工作狂,,
